jarasandha,however,0.05
however,clear,0.05
however,way,0.07
uparichara vasu,ajamihira,0.01
uparichara vasu,grandson,0.2
uparichara vasu,ajamihira dynasty,0.02
uparichara vasu,dynasty,0.21
uparichara vasu,brihadratha,0.04
uparichara vasu,son,0.03
indraprastha,'\x93i',0.01
indraprastha,pandavas,0.04
indraprastha,were,0.01
indraprastha,had,0.03
indraprastha,confident,0.04
indraprastha,deliverance,0.03
indraprastha,news,0.02
indraprastha,faith,0.02
indraprastha,settled,0.16
'\x93i',sarcastically,0.13
'\x93i',word,0.11
'\x93i',shall,0.14
'\x93i',keep,0.11
'\x93i',remarked,0.15
smiles,greeted,0.01
smiles,people,0.1
'cousin\x92s',duty,0.02
'cousin\x92s',honour,0.02
'cousin\x92s',request,0.17
quarters,bring,0.13
quarters,was,0.01
quarters,ten,0.02
kshatriyas,body,0.16
kshatriyas,head,0.01
kshatriyas,emblem,0.02
kshatriyas,warrior,0.02
kshatriyas,compelled,0.04
kshatriyas,recognise,0.02
kshatriyas,marks,0.03
kshatriyas,brahmana,0.02
vassals,become,0.01
vassals,accomplish,0.13
vassals,subjugated,0.02
vassals,ruling,0.02
shrewd jarasandha,noble,0.03
shrewd jarasandha,great,0.01
shrewd jarasandha,compared,0.02
shrewd jarasandha,benevolent,0.02
shrewd jarasandha,nature,0.02
shrewd jarasandha,souls,0.2
shrewd jarasandha,generosity,0.03
shrewd jarasandha,see,0.01
shrewd jarasandha,harishchandra,0.02
shrewd jarasandha,mortal,0.02
shrewd jarasandha,sacrificed,0.02
shrewd jarasandha,pious,0.18
mortal,shibi,0.16
uddhava,consulted,0.17
uddhava,confidante,0.17
uddhava,intellectual,0.16
endless sorrow,pain,0.03
endless sorrow,cause,0.21
endless sorrow,away,0.01
endless sorrow,mutilated,0.04
endless sorrow,child,0.02
endless sorrow,convinced,0.21
kauravas,impression,0.02
kauravas,use,0.01
kauravas,land,0.02
kauravas,cousins,0.02
kauravas,uninhabitable,0.14
kauravas,barren,0.02
legs,ground,0.01
legs,intelligently,0.01
legs,clue,0.01
legs,holding,0.01
legs,got,0.11
legs,threw,0.01
'uddhava\x92s',pacified,0.03
'uddhava\x92s',kill,0.04
'uddhava\x92s',necessary,0.04
'uddhava\x92s',adopted,0.05
'uddhava\x92s',strategy,0.03
'uddhava\x92s',putting,0.05
'uddhava\x92s',know,0.01
'uddhava\x92s',birth,0.03
'uddhava\x92s',tackle,0.03
'uddhava\x92s',understand,0.03
'uddhava\x92s',forth,0.15
'uddhava\x92s',plan,0.02
twig,broke,0.13
twig,killing,0.01
twig,method,0.02
twig,demonstrating,0.02
twig,across,0.02
feel,proper,0.08
feel,went,0.14
fight,cowherd,0.01
fight,mere,0.12
disguise,king,0.12
disguise,presented,0.01
measure,occasion,0.21
measure,full,0.31
measure,said,0.06
measure,gracing,0.22
sacrifice,establish,0.13
sacrifice,sovereignty,0.14
sacrifice,successfully,0.1
sacrifice,completed,0.15
girivraja,entered,0.13
match,enormous,0.02
match,strength,0.05
match,wise,0.04
match,permission,0.03
match,elders,0.06
match,advice,0.03
match,prepared,0.03
match,leave,0.04
match,directly,0.04
match,accepting,0.04
match,meet,0.25
match,wives,0.06
match,choice,0.05
'krishna\x92s',meditating,0.16
'krishna\x92s',garuda,0.24
'krishna\x92s',satisfied,0.29
'krishna\x92s',others,0.14
'krishna\x92s',reached,0.17
'krishna\x92s',singing,0.15
'krishna\x92s',ascended,0.23
'krishna\x92s',road,0.23
yudhshthira,anxiety,0.02
yudhshthira,returned,0.02
yudhshthira,caused,0.02
yudhshthira,lapse,0.03
yudhshthira,flying,0.02
yudhshthira,unfortunately,0.03
yudhshthira,high,0.02
yudhshthira,victorious,0.02
yudhshthira,flags,0.02
yudhshthira,pandu,0.03
yudhshthira,oversight,0.16
yudhshthira,left,0.02
brothers,management,0.12
brothers,fertile,0.02
brothers,prosperous,0.01
brothers,assistance,0.02
brothers,able,0.01
brothers,transformed,0.02
brothers,region,0.01
royal emissary,inhuman treatment,0.05
royal emissary,inform,0.21
royal emissary,subordinate,0.21
inform,kingdom,0.19
inform,emissary,0.13
inform,inhuman,0.17
inform,royal,0.17
inform,subordinate kings,0.11
inform,arrived,0.32
inform,treatment,0.11
inform,suffer,0.18
sudarman,one,0.1
sudarman,hall,0.01
sudarman,day,0.01
sudarman,chapter,0.01
sudarman,presiding,0.01
one,even,0.02
one,44,0.04
even,promise,0.12
even,committed,0.1
even,grant,0.16
even,revealed,0.08
even,praised,0.14
even,boon,0.08
even,vamana,0.11
even,life,0.05
even,recollecting,0.15
even,bali,0.12
even,offered,0.18
even,daitya,0.15
even,highly,0.09
even,come,0.09
even,identity,0.15
even,gifting,0.1
even,straight,0.11
present day,narada,0.23
present day,assembly,0.04
present day,inviting,0.04
present day,perform,0.04
present day,delhi,0.04
present day,rajasuya,0.05
present day,pandava,0.23
present day,came,0.03
narada,intended,0.17
puzzled bhima,hint,0.01
puzzled bhima,paused,0.21
puzzled bhima,moment,0.01
bhima,given,0.16
arjuna,age,0.01
arjuna,prowess,0.09
arjuna,either,0.01
arjuna,equal,0.01
ends,achieving,0.08
vertically,firm,0.01
vertically,enemy,0.02
vertically,ripped,0.02
vertically,leg,0.02
vertically,pulling,0.14
vertically,pressed,0.02
vertically,hands,0.02
krishna,began,0.02
krishna,proved,0.04
krishna,think,0.16
krishna,winning,0.03
surprise,fledged,0.01
surprise,boy,0.01
surprise,live,0.01
surprise,strong,0.1
surprise,man,0.01
lord,submission,0.26
lord,feet,0.09
lord,suffering,0.32
lord,place,0.13
lord,behalf,0.24
picked,named,0.11
picked,accidentally,0.01
picked,together,0.01
picked,two,0.01
picked,brought,0.01
afraid,hid,0.11
afraid,ocean,0.01
yudhishthira,sacrifices,0.02
yudhishthira,formally,0.02
yudhishthira,family,0.16
yudhishthira,due,0.02
yudhishthira,large,0.02
yudhishthira,mukunda,0.02
yudhishthira,blessings,0.03
yudhishthira,respect,0.02
yudhishthira,sought,0.03
yudhishthira,accommodated,0.03
yudhishthira,comfortably,0.03
yudhishthira,commence,0.03
yudhishthira,best,0.02
kings,mercy,0.17
kings,rescued,0.16
kings,time,0.15
step,pointed,0.01
step,initial,0.11
step,commencement,0.01
fierce mace,would,0.18
fierce mace,challenge,0.21
fierce mace,equals,0.21
would,right,0.01
would,appeared,0.01
would,seems,0.01
would,mace,0.01
would,shook,0.01
would,fierce,0.01
would,heavens,0.01
dealings,fair,0.08
lose heart,did,0.18
lose heart,furious,0.03
lose heart,deceit,0.2
obstruction,complete,0.01
obstruction,person,0.02
obstruction,vicious,0.12
obstruction,face,0.01
obstruction,another,0.01
halves,unlucky,0.02
halves,second,0.01
halves,divided,0.15
halves,wife,0.02
responsibility,entrusting,0.01
responsibility,could,0.01
responsibility,rely,0.01
responsibility,assured,0.13
realignment,direction,0.01
realignment,end,0.13
realignment,placed,0.03
realignment,met,0.01
realignment,thus,0.01
realignment,piece,0.01
realignment,inverted,0.02
end,towards,0.01
end,disposition,0.02
towards,name,0.04
towards,cruelty,0.06
towards,joined,0.06
towards,charitable,0.06
towards,meaning,0.07
towards,despite,0.06
towards,brahmanas,0.05
towards,notorious,0.06
towards,solicitous,0.07
elder brother proud,make,0.16
elder brother proud,surely,0.01
pieces,kept,0.16
pieces,alive,0.14
pieces,coming,0.13
pieces,join,0.16
pieces,whole,0.15
sons,four,0.11
sons,gave,0.11
yield,demands,0.16
yield,twenty,0.15
yield,thousand,0.17
yield,unreasonable,0.16
yield,refused,0.15
sahadeva,throne,0.02
sahadeva,imprisoned,0.17
sahadeva,installed,0.03
sahadeva,magadha,0.03
sahadeva,released,0.02
hook,go,0.01
hook,guise,0.15
hook,prompted,0.03
hook,commitment,0.02
attend,matters,0.02
attend,important,0.01
attend,'\x93you',0.14
passions,subdued,0.02
passions,success,0.02
passions,blessed,0.01
passions,won,0.01
passions,wholeheartedly,0.13
passions,first,0.01
jara,rakshasi,0.02
jara,undoing,0.03
jara,death,0.02
jara,achieved,0.02
jara,occurred,0.04
jara,possible,0.02
jara,secret,0.03
jara,made,0.01
jara,existence,0.16
